Time [sec]		Acceleration [m/sec2]	Velocity [m/sec] 	Displacement [m] 
0.00000   		-0.00059        	0.00000          	0.00000          
0.04193   		0.00005         	-0.00001         	-0.00000         
0.08386   		0.00031         	-0.00000         	-0.00000         
0.12579   		0.00025         	0.00001          	-0.00000         
0.16772   		0.00044         	0.00002          	0.00000          
0.20965   		0.00028         	0.00004          	0.00000          
0.25158   		0.00026         	0.00005          	0.00000          
0.29351   		0.00018         	0.00006          	0.00001          
0.33544   		0.00004         	0.00006          	0.00001          
0.37737   		0.00002         	0.00006          	0.00001          
0.41930   		-0.00011        	0.00006          	0.00001          
0.46123   		-0.00015        	0.00006          	0.00002          
0.50316   		-0.00049        	0.00004          	0.00002          
0.54509   		-0.00113        	0.00001          	0.00002          
0.58702   		0.00585         	0.00011          	0.00002          
0.62895   		0.06215         	0.00153          	0.00005          
0.67088   		0.22120         	0.00747          	0.00021          
0.71281   		0.35175         	0.01949          	0.00076          
0.75474   		0.08662         	0.02868          	0.00181          
0.79667   		-0.59587        	0.01800          	0.00289          
0.83860   		-1.08786        	-0.01730         	0.00297          
0.88053   		-0.92205        	-0.05944         	0.00134          
0.92246   		-0.16215        	-0.08217         	-0.00174         
0.96439   		0.80303         	-0.06873         	-0.00505         
1.00632   		1.61731         	-0.01799         	-0.00698         
1.04825   		2.34152         	0.06501          	-0.00610         
1.09018   		2.10491         	0.15823          	-0.00139         
1.13211   		-0.60889        	0.18959          	0.00630          
1.17404   		-4.14630        	0.08990          	0.01268          
1.21597   		-4.76147        	-0.09685         	0.01262          
1.25790   		-1.97926        	-0.23817         	0.00519          
1.29983   		1.40169         	-0.25028         	-0.00554         
1.34176   		3.15527         	-0.15474         	-0.01429         
1.38369   		3.12454         	-0.02309         	-0.01802         
1.42562   		2.14851         	0.08746          	-0.01652         
1.46755   		0.90322         	0.15144          	-0.01133         
1.50948   		-0.16300        	0.16696          	-0.00450         
1.55141   		-0.72049        	0.14844          	0.00219          
1.59334   		-0.88956        	0.11468          	0.00773          
1.63527   		-1.12144        	0.07252          	0.01169          
1.67720   		-1.45990        	0.01840          	0.01365          
1.71913   		-1.37295        	-0.04099         	0.01316          
1.76106   		-0.60891        	-0.08254         	0.01046          
1.80299   		0.27916         	-0.08945         	0.00673          
1.84492   		0.73751         	-0.06813         	0.00335          
1.88685   		0.77515         	-0.03642         	0.00116          
1.92878   		0.50507         	-0.00958         	0.00023          
1.97071   		0.04458         	0.00194          	0.00014          
2.01264   		-0.30803        	-0.00358         	0.00016          
2.05457   		-0.35777        	-0.01754         	-0.00028         
2.09650   		-0.21293        	-0.02950         	-0.00129         
2.13843   		-0.02171        	-0.03442         	-0.00265         
2.18036   		0.16316         	-0.03146         	-0.00406         
2.22229   		0.28635         	-0.02203         	-0.00520         
2.26422   		0.34455         	-0.00881         	-0.00586         
2.30615   		0.32599         	0.00525          	-0.00593         
2.34808   		0.20758         	0.01644          	-0.00546         
2.39001   		0.10330         	0.02295          	-0.00462         
2.43194   		0.08694         	0.02694          	-0.00357         
2.47387   		0.09152         	0.03068          	-0.00236         
2.51580   		0.05029         	0.03366          	-0.00101         
2.55773   		-0.06969        	0.03325          	0.00041          
2.59966   		-0.20037        	0.02759          	0.00171          
2.64159   		-0.22818        	0.01860          	0.00268          
2.68352   		-0.19336        	0.00977          	0.00327          
2.72545   		-0.19211        	0.00168          	0.00351          
2.76738   		-0.19517        	-0.00643         	0.00341          
2.80931   		-0.13323        	-0.01332         	0.00299          
2.85124   		-0.01426        	-0.01641         	0.00235          
2.89317   		0.09292         	-0.01476         	0.00168          
2.93510   		0.12222         	-0.01025         	0.00115          
2.97703   		0.06965         	-0.00623         	0.00081          
3.01896   		-0.00228        	-0.00482         	0.00059          
3.06089   		-0.03999        	-0.00570         	0.00038          
3.10282   		-0.03584        	-0.00729         	0.00010          
3.14475   		-0.00125        	-0.00807         	-0.00022         
3.18668   		0.03707         	-0.00732         	-0.00055         
3.22861   		0.05783         	-0.00533         	-0.00082         
3.27054   		0.06394         	-0.00278         	-0.00099         
3.31247   		0.06520         	-0.00007         	-0.00105         
3.35440   		0.06270         	0.00261          	-0.00100         
3.39633   		0.04569         	0.00488          	-0.00084         
3.43826   		0.01511         	0.00616          	-0.00060         
3.48019   		-0.00981        	0.00627          	-0.00034         
3.52212   		-0.02101        	0.00562          	-0.00009         
3.56405   		-0.02697        	0.00462          	0.00013          
3.60598   		-0.03311        	0.00336          	0.00030          
3.64791   		-0.03926        	0.00184          	0.00041          
3.68984   		-0.04138        	0.00015          	0.00045          
3.73177   		-0.03106        	-0.00137         	0.00042          
3.77370   		-0.00757        	-0.00218         	0.00034          
3.81563   		0.01664         	-0.00199         	0.00025          
3.85756   		0.02577         	-0.00110         	0.00019          
3.89949   		0.01771         	-0.00019         	0.00016          
3.94142   		0.00501         	0.00029          	0.00017          
3.98335   		-0.00335        	0.00032          	0.00018          
4.02528   		-0.00636        	0.00012          	0.00019          
4.06721   		-0.00582        	-0.00013         	0.00019          
4.10914   		-0.00417        	-0.00034         	0.00018          
4.15107   		-0.00179        	-0.00047         	0.00016          
4.19300   		0.00198         	-0.00046         	0.00014          
4.23493   		0.00507         	-0.00032         	0.00013          
4.27686   		0.00343         	-0.00014         	0.00012          
4.31879   		-0.00033        	-0.00007         	0.00011          
4.36072   		-0.00104        	-0.00010         	0.00011          
4.40265   		-0.00107        	-0.00015         	0.00010          
4.44458   		-0.00201        	-0.00021         	0.00010          
4.48651   		-0.00207        	-0.00030         	0.00009          
4.52844   		-0.00111        	-0.00036         	0.00007          
4.57037   		0.00064         	-0.00037         	0.00006          
4.61230   		0.00288         	-0.00030         	0.00004          
4.65423   		0.00556         	-0.00012         	0.00003          
4.69616   		0.00745         	0.00015          	0.00003          
4.73809   		0.00652         	0.00044          	0.00004          
4.78002   		0.00304         	0.00064          	0.00007          
4.82195   		-0.00016        	0.00070          	0.00010          
4.86388   		-0.00097        	0.00068          	0.00013          
4.90581   		-0.00052        	0.00065          	0.00015          
4.94774   		-0.00139        	0.00061          	0.00018          
4.98967   		-0.00435        	0.00049          	0.00020          
5.03160   		-0.00708        	0.00025          	0.00022          
5.07353   		-0.00688        	-0.00004         	0.00022          
5.11546   		-0.00412        	-0.00027         	0.00022          
5.15739   		-0.00102        	-0.00038         	0.00020          
5.19932   		0.00037         	-0.00040         	0.00019          
5.24125   		0.00037         	-0.00038         	0.00017          
5.28318   		0.00065         	-0.00036         	0.00015          
5.32511   		0.00159         	-0.00031         	0.00014          
5.36704   		0.00287         	-0.00022         	0.00013          
5.40897   		0.00350         	-0.00008         	0.00012          
5.45090   		0.00277         	0.00005          	0.00012          
5.49283   		0.00158         	0.00014          	0.00013          
5.53476   		0.00046         	0.00018          	0.00013          
5.57669   		-0.00028        	0.00018          	0.00014          
5.61862   		-0.00063        	0.00017          	0.00015          
5.66055   		-0.00092        	0.00013          	0.00015          
5.70248   		-0.00099        	0.00009          	0.00016          
