Time [sec]		Acceleration [m/sec2]	Velocity [m/sec] 	Displacement [m] 
0.00000   		0.00092         	0.00000          	0.00000          
0.04193   		-0.00008        	0.00002          	0.00000          
0.08386   		-0.00049        	0.00001          	0.00000          
0.12579   		-0.00039        	-0.00001         	0.00000          
0.16772   		-0.00069        	-0.00004         	-0.00000         
0.20965   		-0.00044        	-0.00006         	-0.00000         
0.25158   		-0.00040        	-0.00008         	-0.00000         
0.29351   		-0.00028        	-0.00009         	-0.00001         
0.33544   		-0.00006        	-0.00010         	-0.00001         
0.37737   		-0.00003        	-0.00010         	-0.00002         
0.41930   		0.00018         	-0.00010         	-0.00002         
0.46123   		0.00022         	-0.00009         	-0.00002         
0.50316   		0.00052         	-0.00007         	-0.00003         
0.54509   		0.00037         	-0.00005         	-0.00003         
0.58702   		-0.01357        	-0.00033         	-0.00004         
0.62895   		-0.10981        	-0.00292         	-0.00009         
0.67088   		-0.40916        	-0.01380         	-0.00040         
0.71281   		-0.80000        	-0.03915         	-0.00145         
0.75474   		-0.64049        	-0.06935         	-0.00375         
0.79667   		0.54814         	-0.07128         	-0.00687         
0.83860   		2.02621         	-0.01731         	-0.00894         
0.88053   		2.53157         	0.07824          	-0.00774         
0.92246   		1.55009         	0.16381          	-0.00252         
0.96439   		-0.71888        	0.18124          	0.00504          
1.00632   		-2.71567        	0.10923          	0.01143          
1.04825   		-1.84023        	0.01372          	0.01388          
1.09018   		1.05506         	-0.00274         	0.01368          
1.13211   		1.26175         	0.04583          	0.01455          
1.17404   		-2.05717        	0.02915          	0.01661          
1.21597   		-4.19197        	-0.10186         	0.01540          
1.25790   		-2.46778        	-0.24148         	0.00795          
1.29983   		0.91226         	-0.27409         	-0.00335         
1.34176   		2.85082         	-0.19520         	-0.01348         
1.38369   		2.62838         	-0.08033         	-0.01922         
1.42562   		1.69166         	0.01024          	-0.02055         
1.46755   		1.17376         	0.07032          	-0.01879         
1.50948   		0.67729         	0.10912          	-0.01495         
1.55141   		-0.28956        	0.11725          	-0.01006         
1.59334   		-1.04674        	0.08924          	-0.00562         
1.63527   		-0.75904        	0.05138          	-0.00272         
1.67720   		0.20149         	0.03969          	-0.00095         
1.71913   		0.69922         	0.05857          	0.00104          
1.76106   		0.19782         	0.07738          	0.00396          
1.80299   		-0.72563        	0.06631          	0.00711          
1.84492   		-1.22273        	0.02547          	0.00911          
1.88685   		-0.98401        	-0.02080         	0.00917          
1.92878   		-0.29065        	-0.04752         	0.00763          
1.97071   		0.24648         	-0.04845         	0.00554          
2.01264   		0.36127         	-0.03571         	0.00376          
2.05457   		0.26205         	-0.02264         	0.00255          
2.09650   		0.04583         	-0.01618         	0.00177          
2.13843   		-0.11364        	-0.01760         	0.00109          
2.18036   		0.05874         	-0.01876         	0.00030          
2.22229   		0.27709         	-0.01171         	-0.00037         
2.26422   		0.15169         	-0.00273         	-0.00066         
