Time [sec]		Acceleration [m/sec2]	Velocity [m/sec] 	Displacement [m] 
0.00000   		-0.00001        	0.00000          	0.00000          
0.04193   		0.00000         	-0.00000         	-0.00000         
0.08386   		0.00001         	-0.00000         	-0.00000         
0.12579   		0.00000         	0.00000          	-0.00000         
0.16772   		0.00001         	0.00000          	0.00000          
0.20965   		0.00001         	0.00000          	0.00000          
0.25158   		0.00000         	0.00000          	0.00000          
0.29351   		0.00000         	0.00000          	0.00000          
0.33544   		0.00000         	0.00000          	0.00000          
0.37737   		0.00000         	0.00000          	0.00000          
0.41930   		-0.00000        	0.00000          	0.00000          
0.46123   		-0.00003        	0.00000          	0.00000          
0.50316   		-0.00020        	-0.00000         	0.00000          
0.54509   		-0.00015        	-0.00001         	-0.00000         
0.58702   		0.00894         	0.00017          	0.00000          
0.62895   		0.06625         	0.00175          	0.00003          
0.67088   		0.21220         	0.00759          	0.00021          
0.71281   		0.30371         	0.01840          	0.00074          
0.75474   		-0.00515        	0.02466          	0.00169          
0.79667   		-0.68376        	0.01022          	0.00252          
0.83860   		-1.08549        	-0.02687         	0.00223          
0.88053   		-0.78849        	-0.06616         	0.00023          
0.92246   		0.01296         	-0.08242         	-0.00300         
0.96439   		0.86764         	-0.06396         	-0.00619         
1.00632   		1.29912         	-0.01853         	-0.00799         
1.04825   		1.39752         	0.03800          	-0.00759         
1.09018   		1.39617         	0.09657          	-0.00477         
1.13211   		0.54634         	0.13730          	0.00026          
1.17404   		-1.30454        	0.12140          	0.00595          
1.21597   		-2.42796        	0.04315          	0.00957          
1.25790   		-1.70804        	-0.04356         	0.00945          
1.29983   		-0.12381        	-0.08197         	0.00659          
1.34176   		0.95146         	-0.06462         	0.00336          
1.38369   		0.98540         	-0.02401         	0.00150          
1.42562   		0.26137         	0.00213          	0.00114          
1.46755   		-0.42664        	-0.00134         	0.00126          
1.50948   		-0.59536        	-0.02276         	0.00078          
1.55141   		-0.48489        	-0.04541         	-0.00067         
1.59334   		-0.26921        	-0.06122         	-0.00293         
1.63527   		0.25552         	-0.06151         	-0.00558         
1.67720   		0.97159         	-0.03578         	-0.00773         
1.71913   		1.38119         	0.01355          	-0.00825         
1.76106   		1.09524         	0.06546          	-0.00655         
1.80299   		0.14211         	0.09141          	-0.00313         
1.84492   		-0.83808        	0.07681          	0.00054          
1.88685   		-1.14941        	0.03515          	0.00294          
1.92878   		-0.79498        	-0.00562         	0.00350          
1.97071   		-0.20975        	-0.02668         	0.00274          
2.01264   		0.24463         	-0.02595         	0.00157          
